plot_aspect_ratio,plot_obb_ratio,plot_interior_angle_sum,plot_label,plot_geometry_wkt,is_rectangle,is_flag,is_trapezoid,is_triangle,index
1.9007150929283096,0.6224745963659197,724.0695621808087,2,"POLYGON ((201163.95 443656.81, 201163.68 443654.14, 201162.15 443639.22, 201129.59 443641.73, 201129.084237 443644.325699, 201143.43 443643.35, 201144.99 443658.38, 201163.95 443656.81))",0,1,1,0,0
1.6926291883199545,0.432955412449155,540.9123028775541,2,"POLYGON ((201140.34188028518 443740.3041022399, 201111.36434026266 443735.06778889376, 201110.820723 443737.941676, 201130.34 443741.52, 201127.85 443755.74, 201137.0107378583 443757.18625709385, 201140.34188028518 443740.3041022399))",0,1,0,0,1
2.0984181174601875,0.4390078120928163,717.7690500017719,2,"POLYGON ((201499.167 442839.658, 201500.69503372407 442834.66987635155, 201468.62398109137 442822.907629064, 201467.50994124208 442825.82160618587, 201487.461 442832.835, 201482.701799 442845.5751939886, 201496.96094686753 442845.57745135645, 201499.167 442839.658))",0,1,0,0,2
1.1802834341565318,0.565306824869473,539.45479019935,2,"POLYGON ((201638.71760833 443511.1721033493, 201649.36 443518.83, 201639.33 443532.63, 201649.06 443539.75, 201661.01 443521.99, 201641.23 443507.7, 201638.71760833 443511.1721033493))",0,1,0,0,5
1.1779656549198845,0.6014679331955564,538.0607265882917,2,"POLYGON ((201678.78130381522 443540.5066651954, 201681.52260897393 443536.7938850718, 201661.01 443521.99, 201649.06 443539.75, 201659.01 443547.03, 201668.92 443533.19, 201678.78130381522 443540.5066651954))",0,1,1,0,6
1.648524604002873,0.5304558675967186,542.1298533083436,2,"POLYGON ((201507.15 443428.43, 201483.11219679494 443419.4227650947, 201482.01984476915 443422.20919770765, 201495.97 443427.72, 201491.65 443439.28, 201501.57673464538 443442.95885660383, 201507.15 443428.43))",0,1,0,0,7
1.124829227514697,0.5832521981002629,537.7985381636767,2,"POLYGON ((201570.81495004005 443599.8330430803, 201567.4183866806 443598.4740966812, 201563.85 443608.5, 201550.03 443603.28, 201546.35 443612.84, 201563.86 443619.59, 201570.81495004005 443599.8330430803))",0,1,0,0,9
1.711923530863068,0.545447781665304,715.1889972991092,2,"POLYGON ((201747.554 442604.918, 201752.618717 442589.560868, 201748.329 442588.961, 201743.832 442603.392, 201730.77728756613 442598.7142341239, 201726.044981632 442610.9161955063, 201741.94251552338 442617.07285614265, 201747.554 442604.918))",0,1,0,0,10
2.5844225083576373,0.4940134510133774,726.6905352210038,2,"POLYGON ((201560.6764680251 442813.70564474846, 201558.81842673747 442798.0114487726, 201515.365 442800.255, 201515.53634863265 442800.88925035874, 201516.3316192507 442803.5911310791, 201540.326 442801.464, 201542.49290971615 442816.11817062134, 201560.6764680251 442813.70564474846))",0,1,0,0,16
1.3778270827814911,0.5243415227778827,531.685751037964,2,"POLYGON ((201412.7670401275 442597.2596036865, 201393.0869993946 442586.4549400002, 201383.5912740041 442600.80991428584, 201394.39917241797 442607.009337143, 201400.71963942368 442593.08571428584, 201411.83610478105 442599.1396244257, 201412.7670401275 442597.2596036865))",0,1,0,0,19
3.160351679958826,0.5660965900974746,546.8377856764118,2,"POLYGON ((201647.63 442518.03, 201635.73 442512.44, 201628.02 442529.16, 201637.04 442533.77, 201627.72126024397 442555.0470262701, 201630.66735774587 442555.8514750581, 201647.63 442518.03))",0,1,0,0,22
2.465952758912761,0.4859628407757927,539.4097126106823,2,"POLYGON ((201662.1 442524.76, 201647.63 442518.03, 201641.49 442531.49, 201653.21 442536.74, 201643.01908007517 442559.1794741476, 201645.81957817028 442559.8813152974, 201662.1 442524.76))",0,1,0,0,24
1.8936016854957392,0.5156225048275237,541.9787421243395,2,"POLYGON ((201491.7 442855.06, 201508.81165216406 442861.32944768923, 201510.0587317038 442857.92294073047, 201481.92535726822 442847.64898246527, 201475.135913 442862.802956, 201487.09 442867, 201491.7 442855.06))",0,1,0,0,29
2.532600222171679,0.6445274558732857,721.1691679116612,2,"POLYGON ((201352.9578673165 442881.5231705246, 201323.91 442870.45, 201319.72 442881.37, 201319.51 442881.96, 201335.17 442887.8, 201338.43 442879.25, 201351.95242387013 442884.248499407, 201352.9578673165 442881.5231705246))",0,1,1,0,30
1.2510498901898055,0.5751680750412028,541.0243212558323,2,"POLYGON ((201266.87 442864.81, 201264.18 442885.39, 201276.8798201937 442887.01691795955, 201279.25 442869.9, 201292.1133820488 442871.5641453538, 201292.5978325907 442868.3132271519, 201266.87 442864.81))",0,1,0,0,32
1.7221888843838424,0.4882076270302429,539.565020097276,2,"POLYGON ((201510.78723461245 443293.4840460822, 201508.3691289492 443291.76677600865, 201495.72 443309.31, 201481.05943187486 443298.65452800377, 201472.151196845 443310.80531867995, 201489.54 443323.24, 201510.78723461245 443293.4840460822))",0,1,0,0,34
1.1219205424202543,0.6807392912874873,725.2358861021368,2,"POLYGON ((201858.6822 443189.1714, 201860.5524 443184.1997, 201860.6007 443184.0648, 201852.06 443180.5, 201856.4 443168.6, 201845.58 443164.47, 201838.77 443182.13, 201858.6822 443189.1714))",0,1,1,0,37
1.572734802598106,0.5639115645526468,904.650522791366,2,"POLYGON ((201851.857 442867.457, 201848.8642 442881.9795, 201853.0875 442883.3453, 201853.218 442882.836, 201856.352 442868.718, 201858.659 442856.444, 201842.1654 442853.3997, 201839.4008 442864.3583, 201851.857 442867.457))",0,1,0,0,38
