plot_aspect_ratio,plot_obb_ratio,plot_interior_angle_sum,plot_label,plot_geometry_wkt,is_rectangle,is_flag,is_trapezoid,is_triangle,index
2.022402837049861,0.5067726329631413,359.9999999999999,3,"POLYGON ((201163.05 443451.99, 201160.32 443448.05, 201157.48 443468.33, 201173.73701395362 443470.59190443094, 201163.05 443451.99))",0,0,0,1,0
1.7801469727534445,0.5563114223542083,359.99999999999994,3,"POLYGON ((201207.5334485886 443608.1250194595, 201193.00474246542 443602.5614547057, 201191.9 443605.55, 201202.23 443621.38, 201207.5334485886 443608.1250194595))",0,0,0,1,2
2.213586244929405,0.5429269313264665,719.9999999999999,3,"POLYGON ((201189.42 443496.13, 201188.58 443494.61, 201175.498913 443473.497945, 201173.78 443483.66, 201172.42 443493.86, 201188.67 443500.08, 201189.42 443496.13))",0,0,0,1,3
5.445490020885142,0.5000001202254979,180.00000000000009,3,"POLYGON ((201157.48149544225 443955.2737323397, 201108.7007720372 443955.26600880787, 201155.7499949511 443964.2314670008, 201157.48149544225 443955.2737323397))",0,0,0,1,4
1.6555145299997502,0.5800280113360062,540.0,3,"POLYGON ((201684.3160462803 443400.49488124344, 201666.90327422254 443400.49133669893, 201664.206564 443404.140092, 201676.88372096687 443413.4532313424, 201685.66232741 443401.58179350494, 201684.3160462803 443400.49488124344))",0,0,0,1,5
2.040044902925096,0.5313835971447443,360.00000000000006,3,"POLYGON ((201706.62043535642 443400.4994215258, 201686.46606507295 443400.49531890143, 201685.66232741 443401.58179350494, 201698.90064195488 443410.7710987913, 201706.62043535642 443400.4994215258))",0,0,0,1,6
2.34721803706132,0.5409609192858462,360.0,3,"POLYGON ((201733.9064321177 443802.49362656585, 201744.47 443811.98, 201747.86900438883 443784.8234730738, 201745.61 443785.81, 201733.9064321177 443802.49362656585))",0,0,0,1,7
1.94781550987128,0.5576977058714956,540.0,3,"POLYGON ((201540.462593898 443955.3356191664, 201541.71 443953.23, 201541.61 443952.47, 201512.86376798924 443934.4225579923, 201512.86 443955.33, 201540.462593898 443955.3356191664))",0,0,0,1,8
1.555724163625383,0.5390514702786245,540.0000000000007,3,"POLYGON ((201617.31 442293.98, 201618.22828753447 442290.73138480267, 201599.2656598828 442290.7275252932, 201599.28 442292.52, 201614.37335021084 442303.99667252606, 201617.31 442293.98))",0,0,0,1,9
1.740474994521484,0.591011967678169,360.0,3,"POLYGON ((201640.74002553138 442290.73596667114, 201618.2282875345 442290.73138480267, 201617.31 442293.98, 201638.14 442305.33, 201640.74002553138 442290.73596667114))",0,0,0,1,10
2.1966176915581395,0.5850840446144266,360.0,3,"POLYGON ((201513.16 442290.71, 201509.6884237564 442290.7094504391, 201499.640553 442310.377515, 201513.15464932812 442320.39927294257, 201513.16 442290.71))",0,0,0,1,11
6.696161477042359,0.5157934959181751,360.0,3,"POLYGON ((201412.26876534687 442486.9431685717, 201412.07549530242 442486.8028448712, 201397.209268 442517.059937, 201401.05830496925 442525.01077533624, 201412.26876534687 442486.9431685717))",0,0,0,1,12
1.6003360631418742,0.549398960302888,720.0000000000001,3,"POLYGON ((201513.09058446207 442675.87599533534, 201512.343 442675.779, 201511.142 442676.184, 201510.984164 442676.317718, 201501.37316984072 442688.8738048089, 201513.08722309998 442694.5271852403, 201513.09058446207 442675.87599533534))",0,0,0,1,13
3.002562924605167,0.5047797389722434,360.00000000000017,3,"POLYGON ((201965.391 442767.742, 201966.7870226883 442763.7526670421, 201955.24022204062 442759.3576640155, 201955.2320985138 442794.0307511708, 201965.391 442767.742))",0,0,0,1,14
2.599764732021704,0.5119355356448416,360.0000000000001,3,"POLYGON ((201513.100455513 442621.10449532745, 201511.07914108172 442624.953660921, 201501.83757346458 442646.4437565505, 201513.09518059014 442650.3734596582, 201513.100455513 442621.10449532745))",0,0,0,1,15
1.4823691120617135,0.5271471742485204,1440.0000000000002,3,"POLYGON ((201841.711816 442505.347707, 201842.259622 442504.878667, 201842.657944 442504.480494, 201842.979 442503.953, 201843.056267 442503.504972, 201843.069 442503.259, 201842.896938 442502.778308, 201842.532 442502.194, 201824.34422247086 442482.44299516245, 201821.672081 442508.062691, 201841.711816 442505.347707))",0,0,0,1,16
1.2640612157216096,0.5613525744377834,899.9999999999999,3,"POLYGON ((201860.232765827 442521.90569525684, 201859.84236 442521.242255, 201857.688 442517.967, 201852.086 442511.109, 201849.814514 442509.675455, 201845.7867062109 442509.63498991996, 201844.96605268616 442525.704820915, 201860.232765827 442521.90569525684))",0,0,0,1,17
2.7056216179421426,0.5000000718933032,180.0,3,"POLYGON ((201529.16552143666 442344.9749082197, 201513.15233859513 442333.2208372966, 201513.1445293172 442376.552177635, 201529.16552143666 442344.9749082197))",0,0,0,1,18
2.92978912061388,0.5000000120177878,180.0,3,"POLYGON ((201453.90975103015 442845.5706359151, 201421.46808818355 442845.5655000705, 201449.58240949005 442856.64298695617, 201453.90975103015 442845.5706359151))",0,0,0,1,19
2.112921027231798,0.4999999317263867,180.00000000000006,3,"POLYGON ((201522.76 443268.3, 201512.98511463456 443261.10391567496, 201512.98139197502 443281.7602090363, 201522.76 443268.3))",0,0,0,1,20
1.7699498181089266,0.5701693011291842,540.0,3,"POLYGON ((201512.97601995175 443311.56849257404, 201512.97899859885 443295.0405747149, 201510.78723461245 443293.4840460822, 201501.64 443306.48, 201511.63 443313.55, 201512.97601995175 443311.56849257404))",0,0,0,1,21
