plot_aspect_ratio,plot_obb_ratio,plot_interior_angle_sum,plot_label,plot_geometry_wkt,is_rectangle,is_flag,is_trapezoid,is_triangle
1.7372890375218943,0.7522899985641192,540.0,4,"POLYGON ((201266.80585757914 443497.45072323625, 201246.4510814632 443494.8509592074, 201244.03 443502.41, 201262.06 443509.52, 201262.53 443509.65, 201266.80585757914 443497.45072323625))",0,0,1,1
1.3836477014980766,0.7375810779702444,638.5120895144992,4,"POLYGON ((201285.65 443764.48, 201287.56619756488 443758.64993667195, 201266.69 443754.27, 201266.79 443757.03, 201261.9609934454 443763.0642887779, 201281.663933 443774.750653, 201285.65 443764.48))",0,0,1,0
1.2413285320198828,0.8773159966960449,360.0,4,"POLYGON ((201144.99 443658.38, 201143.43 443643.35, 201129.084237 443644.325699, 201126.14565228613 443659.81956690684, 201144.99 443658.38))",0,0,1,0
1.6609578536774927,0.6807153835784947,720.0000000000001,4,"POLYGON ((201178.28 443447, 201165.04 443445.28, 201163.99263849322 443445.2736182664, 201163.05 443451.99, 201173.73701395362 443470.59190443094, 201175.51 443470.83, 201178.28 443447))",0,0,1,1
1.127807729061957,0.8410607176799973,720.0,4,"POLYGON ((201209.7 443456.51, 201188.95407629543 443455.7640912448, 201187.84474800096 443456.6978079529, 201186.90591933436 443461.6686586824, 201188.76 443472.61, 201206.97022509368 443476.45835508476, 201209.7 443456.51))",0,0,1,0
1.073072460204874,0.8595116261932598,360.0,4,"POLYGON ((201166.01 443669.84, 201163.95 443656.81, 201152.67 443657.5, 201152.70779579337 443670.8702618966, 201166.01 443669.84))",0,0,1,0
1.1116512239246,0.8734502156677274,539.9999999999995,4,"POLYGON ((201146.1141502389 443640.636903199, 201146.1 443640.38, 201144.944618 443625.807329, 201132.58102653272 443626.6000220857, 201129.59 443641.73, 201146.1141502389 443640.636903199))",0,0,1,1
1.0660816660794208,0.8700892557836918,1078.1317665291672,4,"POLYGON ((201164.3 443567.77, 201166.79 443554.82, 201159.9488761737 443553.0298314261, 201151.0174425242 443551.742376882, 201145.85 443555.19, 201144.07 443567.48, 201144.54 443568.8, 201162.886759 443575.826182, 201164.3 443567.77))",0,0,1,0
1.9680624843791703,0.8243951506572861,360.0,4,"POLYGON ((201277.09957294125 443400.4226583664, 201262.3699499449 443400.4203263593, 201261.45 443406.42, 201275.82355285526 443408.3737400327, 201277.09957294125 443400.4226583664))",0,0,1,0
1.2022464842698564,0.7597770113902431,816.0886066591928,4,"POLYGON ((201187.14 443802.18, 201191.93999219523 443797.2100080812, 201198.66866293186 443791.0436748924, 201181.25061865477 443783.0573499676, 201175.72 443795.31, 201177.07102583733 443795.33071780356, 201186.33 443802.92, 201187.14 443802.18))",0,0,1,0
1.1990339673111376,0.8196229356496227,440.0448973340701,4,"POLYGON ((201236.21 443846.08, 201233.95 443847.62, 201219.05 443843.43, 201215.472357 443857.118843, 201232.177201 443861.330772, 201236.21 443846.08))",0,0,1,0
1.7965215111712645,0.6900592712659949,710.9549111138331,4,"POLYGON ((201346.97999753212 443433.38308029436, 201348.1907900048 443424.7515541298, 201356.2870558837 443425.71935642086, 201357.3470558837 443423.0093564209, 201334.44472828033 443420.1595776723, 201332.43 443433.08, 201346.91987099766 443434.88397486357, 201346.97999753212 443433.38308029436))",0,0,1,0
2.574881236933414,0.8740114091305966,1036.9243785619374,4,"POLYGON ((201237.612675 443806.150703, 201233.17 443805.45, 201229.38960469785 443808.4105851168, 201227.12 443811.77, 201225.04078681223 443822.10608863545, 201224.0594879891 443826.0081331164, 201225.13 443825.89, 201232.17033932736 443827.45057899447, 201237.612675 443806.150703))",0,0,1,0
1.1998697324258718,0.7518783760600886,1460.3854010403386,4,"POLYGON ((201237.47 443839.45, 201240.93 443829.84, 201241.02511632215 443829.41512167925, 201225.13 443825.89, 201224.0594879891 443826.0081331164, 201219.79897915258 443823.40967847325, 201222.21 443827.97, 201222.50818344683 443829.56946809543, 201222.18 443831.28, 201219.35 443842.41, 201234.63 443846.27, 201237.47 443839.45))",0,0,1,0
1.0702565561490958,0.8485008331230807,1254.786365158054,4,"POLYGON ((201206.48884345515 443815.58895261656, 201213.2626197173 443801.3560347438, 201208.94 443798.99, 201203.3550096575 443796.518440226, 201194.08746732355 443805.02387530013, 201193.26208350743 443806.28681198263, 201193.04026461372 443809.3771662351, 201193.73999384456 443810.65998883225, 201206.43556688243 443815.71542034537, 201206.48884345515 443815.58895261656))",0,0,1,0
1.477877649038173,0.6448640273105856,1233.8677972679975,4,"POLYGON ((201228.26 443803.33, 201224.82000164423 443800.88999267074, 201226.24656157897 443794.5309204192, 201216.17 443784.15, 201215.69062724258 443783.7215128489, 201211.0641270813 443789.44456496777, 201203.3550096575 443796.518440226, 201208.94 443798.99, 201223.70344802816 443807.0709400912, 201223.88 443807.29, 201228.26 443803.33))",0,0,1,0
1.2738903269042932,0.8631717232912889,360.0,4,"POLYGON ((201280.93 443712.81, 201264.71 443703.53, 201258.721171 443725.76364, 201274.83 443729.98, 201280.93 443712.81))",0,0,1,0
1.0537510032671835,0.8500170306931231,826.3532665652276,4,"POLYGON ((201231.64055477193 443801.59484799317, 201240.9596866466 443803.1799464842, 201243.18 443801.87, 201246.12 443789.78, 201228.36 443785.11, 201224.82000164423 443800.88999267074, 201228.26 443803.33, 201231.64055477193 443801.59484799317))",0,0,1,0
