plot_aspect_ratio,plot_obb_ratio,plot_interior_angle_sum,plot_label,plot_geometry_wkt,is_rectangle,is_flag,is_trapezoid,is_triangle
2.3026990415185327,0.960613338787502,360.0,1,"POLYGON ((203467.13 446757.14, 203471.551 446742.307, 203464.65 446740.45, 203460.065 446756.049, 203467.13 446757.14))",1,0,1,0
1.8555333293026097,0.9479629259387091,540.0,1,"POLYGON ((203499.117 446762.555, 203501.21 446748.6, 203476.669 446745.368, 203473.83 446756, 203475.24 446758.88, 203499.117 446762.555))",0,0,1,0
2.1941261876696916,0.9590892460052618,360.0,1,"POLYGON ((203501.21 446748.6, 203502.79 446737.58, 203479.619 446734.319, 203476.669 446745.368, 203501.21 446748.6))",1,0,1,0
2.34080219842214,0.9786437748799579,539.0951590236243,1,"POLYGON ((203506.14 446763.636, 203508.799 446747.001, 203501.62 446745.711, 203501.21 446748.6, 203499.117 446762.555, 203506.14 446763.636))",0,0,1,0
1.902791911408936,0.9711021502419704,360.00000000000006,1,"POLYGON ((203514.94 446764.99, 203517.283 446748.577, 203508.799 446747.001, 203506.14 446763.636, 203514.94 446764.99))",1,0,1,0
1.8450398842977913,0.8841672830744749,904.9395124693285,1,"POLYGON ((203713.577 446752.195, 203712.894 446756.077, 203711.04 446755.85, 203709.449 446765.313, 203724.77668315716 446768.23617596965, 203728.8873999691 446739.9732606139, 203717.815 446738.159, 203715.617 446739.939, 203713.577 446752.195))",0,0,1,0
2.2725835325710446,0.9920956057093085,360.0,1,"POLYGON ((203694.46 446762.69, 203698.335 446735.408, 203686.42 446733.757, 203682.48 446760.81, 203694.46 446762.69))",1,0,1,1
2.134947330879221,0.981356640026968,360.0,1,"POLYGON ((203658.6 446757.07, 203670.94 446759, 203674.689 446732.131, 203662.050048828 446730.385253906, 203658.6 446757.07))",1,0,1,0
2.126018049734474,0.91769420898141,360.0,1,"POLYGON ((203658.6 446757.07, 203662.050048828 446730.385253906, 203650.350097656 446730.380371094, 203646.146 446754.693, 203658.6 446757.07))",1,0,1,0
1.4921136835328108,0.9107004267958002,360.0,1,"POLYGON ((203646.146 446754.693, 203650.350097656 446730.380371094, 203633.570068359 446730.373046875, 203630.87 446751.8, 203646.146 446754.693))",1,0,1,0
1.498319222243378,0.9327213196222566,360.0,1,"POLYGON ((203630.87 446751.8, 203633.570068359 446730.373046875, 203619.554931641 446730.3671875, 203616.621 446749.588, 203630.87 446751.8))",1,0,1,0
2.308427352112974,0.989326557738169,360.00000000000006,1,"POLYGON ((203682.48 446760.81, 203686.42 446733.757, 203674.689 446732.131, 203670.94 446759, 203682.48 446760.81))",1,0,1,0
1.8409292345950758,0.9731194553577882,360.0,1,"POLYGON ((203838.35 446791.46, 203834.82646305574 446817.36679900414, 203848.48611741676 446819.4886967822, 203852.53497303862 446793.6030041453, 203838.35 446791.46))",1,0,1,0
1.8881199709580851,0.993048427355882,360.0,1,"POLYGON ((203852.53497303862 446793.6030041453, 203848.48611741676 446819.4886967822, 203862.1688258585 446821.61417579313, 203866.32072546287 446795.68569577334, 203852.53497303862 446793.6030041453))",1,0,1,1
1.7428192518236545,0.963661370502771,360.0,1,"POLYGON ((203866.32072546287 446795.68569577334, 203862.1688258585 446821.61417579313, 203877.27 446823.96, 203880.67292768048 446797.7942452676, 203866.32072546287 446795.68569577334))",1,0,1,0
2.0763786242256703,0.9914738080742251,360.0,1,"POLYGON ((203790.72563116424 446749.7625297119, 203786.59802928465 446775.31719765696, 203798.970416 446777.320065, 203802.97348750656 446751.60607113264, 203790.72563116424 446749.7625297119))",1,0,1,1
1.3491655056803251,0.9906048580849232,360.0,1,"POLYGON ((203918.09618961488 446770.17159143015, 203915.87 446785.94, 203927.66277265453 446787.74281761696, 203929.85889866448 446771.8765395141, 203918.09618961488 446770.17159143015))",1,0,1,1
2.0733986164317733,0.9494675762137044,720.0000000000001,1,"POLYGON ((203932.140699965 446772.2072756344, 203930.53 446782.92, 203942.36 446784.88, 203952.86 446785.31, 203954.42 446778.19, 203952.65 446775.18, 203932.140699965 446772.2072756344))",0,0,1,0
1.745555973805761,0.9694100159019818,540.0,1,"POLYGON ((203959.49 446775.59, 203957.37 446785.28, 203957.59 446785.69, 203975.34 446788.88, 203977.15914609365 446778.47720037744, 203959.49 446775.59))",0,0,1,0
1.45719251167876,0.9515397039516885,540.0,1,"POLYGON ((203987.3315215984 446780.1394021749, 203984.1 446798.68, 203997.02 446800.21, 203999.35621199987 446784.23533754126, 203997.58625499986 446781.8150615413, 203987.3315215984 446780.1394021749))",0,0,1,0
1.4084741281074038,0.9519767161998881,540.0,1,"POLYGON ((204005.69146944463 446783.139481979, 204003.16052508226 446784.710685998, 204001.02 446800.56, 204013.02 446802.52, 204016.26015093212 446784.8664415626, 204005.69146944463 446783.139481979))",0,0,1,0
1.312973498410998,0.9493472913619307,540.0,1,"POLYGON ((204016.26015093212 446784.8664415626, 204013.02 446802.52, 204026.6929336583 446804.6811205167, 204028.77 446790.31, 204027.42 446786.69, 204016.26015093212 446784.8664415626))",0,0,1,0
1.3480514322266919,0.9485158549082026,360.0,1,"POLYGON ((204093.22736192436 446816.3554971435, 204090.3943334987 446834.6617572065, 204104.17 446835.94, 204106.13 446818.26, 204093.22736192436 446816.3554971435))",1,0,1,0
1.4749543971587706,0.9614186265334309,540.0,1,"POLYGON ((204097.99 446798.13, 204095.7 446800.38, 204093.22736192436 446816.3554971435, 204106.13 446818.26, 204108.7110088218 446799.1983192212, 204097.99 446798.13))",0,0,1,0
